,title,link,address,gps
0,Ubriaca fa un incidente e tenta di arrivare a casa senza una ruota,http://www.trentotoday.it/cronaca/incidente-stradale/incidente-scappa-senza-ruota.html,"Strada Statale 48 - Mazzin, Trento, Italia","[46.457057, 11.700961]"
1,"Sentiero facile ma ghiacciato: scivola in un dirupo, recuperato dall'elicottero",http://www.trentotoday.it/cronaca/scivola-bondone-elicottero-23-febbraio.html,"Strada del Monte Bondone - Trento, Trento, Italia","[46.069784, 11.094918]"
2,Weekend di controlli fuori dai locali: sette patenti ritirate,http://www.trentotoday.it/attualita/controlli-alcol-locali-garda.html,"SS45bis - Arco, Trento, Italia","[45.941287, 10.901369]"
3,"Coronavirus, chiusi asili nido e scuole materne",http://www.trentotoday.it/attualita/asili-nido-chiusi-trentino.html,"Via Giovanni Zanella - Trento, Trento, Italia","[46.0675, 11.118876]"
4,"Coronavirus, ecco dieci ""regole"" da seguire",http://www.trentotoday.it/benessere/salute/coronavirus-febbre-cosa-fare.html,"Via Annibale Apollonio - Trento, Trento, Italia","[46.057443, 11.134149]"
5,Coronavirus: Università chiusa tutta la settimana,http://www.trentotoday.it/cronaca/coronavirus-universita-chiusa.html,"Via Giuseppe Verdi - Trento, Trento, Italia","[46.066523, 11.117443]"
6,Coronavirus: famiglia lombarda in Trentino positiva al test,http://www.trentotoday.it/cronaca/coronavirus-casi-famiglia_trentino.html,"Largo Medaglie d&#039;oro - Trento, Trento, Italia","[46.057786, 11.132864]"
7,"Università, aule studio chiuse dopo l'ordinanza per il Coronavirus",http://www.trentotoday.it/attualita/universita-chiusa-coronavirus.html,"Via Giuseppe Verdi - Trento, Trento, Italia","[46.066523, 11.117443]"
8,"Coronavirus: chiuse scuole, asili e Università",http://www.trentotoday.it/cronaca/asili-universita-chiusa-coronavirus.html,"Via Giuseppe Verdi - Trento, Trento, Italia","[46.066523, 11.117443]"
9,Coronavirus: la Provincia invita a non andare in Veneto e Lombardia,http://www.trentotoday.it/attualita/coronavirus-lombardia-veneto.html,"Largo Medaglie d&#039;oro - Trento, Trento, Italia","[46.057786, 11.132864]"
10,"Violenza sessuale, chiuso il bar H/àkka/. Lo staff: ""Profondamente feriti, valuteremo se proseguire""",http://www.trentotoday.it/cronaca/accademia-chiusa-stupro.html,"Via dei Ventuno - Trento, Trento, Italia","[46.069472, 11.127332]"
11,Tutti gli eventi del weekend in Trentino,http://www.trentotoday.it/eventi/weekend/cosa-fare-21-22-23-febbraio.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
12,Ferrovie: riapre la fermata di Calliano,http://www.trentotoday.it/attualita/fermata-treno-calliano.html,"Via Statale 12 - Calliano, Trento, Italia","[45.931986, 11.094585]"
13,Caso di stupro in centro: il bar H/àkka/ chiuso per un mese,http://www.trentotoday.it/cronaca/stupro-accademia-chiusa.html,"Via dei Ventuno - Trento, Trento, Italia","[46.069472, 11.127332]"
14,"""Lo spazio attorno al Muse è ignobile ed indecente"", il presidente del museo rivuole il planetario",http://www.trentotoday.it/attualita/muse-planetario-zecchi.html,"Via Roberto da Sanseverino - Trento, Trento, Italia","[46.056951, 11.112458]"
15,"Muse: solo un dipendente su due è a tempo indeterminato, ma dai precari arriva il 40% delle risorse",http://www.trentotoday.it/attualita/muse-lavoratori-precari.html,"Via Roberto da Sanseverino - Trento, Trento, Italia","[46.056951, 11.112458]"
16,Andrea Castelli premiato con l'Aquila di San Venceslao,http://www.trentotoday.it/eventi/cultura/aquila-venceslao-2020-andrea-castelli.html,"Via Bolzano - Trento, Trento, Italia","[46.104564, 11.109925]"
17,Casting a Trento per un nuovo film: si cercano anche giocatori di softair,http://www.trentotoday.it/attualita/comparse-softair-film.html,"Via Giovanni Zanella - Trento, Trento, Italia","[46.0675, 11.118876]"
18,"""Diario di spezie"": il casting per il film girato in Trentino",http://www.trentotoday.it/eventi/diario-spezie-casting-film.html,"Via Giovanni Zanella - Trento, Trento, Italia","[46.0675, 11.118876]"
19,"Incidente all'Interporto, traffico in tilt",http://www.trentotoday.it/cronaca/incidente-stradale/interporto-code-tangenziale-21-febbraio.html,"Via Innsbruck, 1 - Trento, Trento, Italia","[46.107864, 11.091785]"
20,Martedì grasso anche a Smart Lab,http://www.trentotoday.it/eventi/smart-lab-martedi-grasso-2020.html,"Viale Trento - Rovereto, Trento, Italia","[45.905315, 11.040298]"
21,"Alle Albere un museo su Scienza e Filosofia, il presidente del Muse: ""Abbiamo già una mostra""",http://www.trentotoday.it/attualita/nuovo-museo-scienza-albere.html,"Via Roberto da Sanseverino - Trento, Trento, Italia","[46.056951, 11.112458]"
22,"Meteo, previsioni per il weekend: sole e caldo",http://www.trentotoday.it/meteo/previsioni-weekend-22-23-febbraio.html,"Via Monsignor Celestino Endrici - Trento, Trento, Italia","[46.39181, 11.119812]"
23,Traffico di carburante dall'Est Europa: 49 persone denunciate,http://www.trentotoday.it/cronaca/contrabbando-carburante-brennero.html,"Via del Brennero - Trento, Trento, Italia","[46.084893, 11.119293]"
24,Incidente alla galleria dei Crozi: traffico bloccato in Valsugana,http://www.trentotoday.it/cronaca/incidente-stradale/valsugana-code-20-febbraio.html,"Superstrada Valsugana - Civezzano, Trento, Italia","[46.059949, 11.229549]"
25,"Stupro in un locale del centro, le donne della Lega: ""Chiediamo da tempo la castrazione chimica""",http://www.trentotoday.it/cronaca/stupro-trento-castrazione-chimica.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
26,"Casa, in arrivo contributi provinciali per l'efficientamento energetico",http://www.trentotoday.it/green/contributi-risparmio-energetico-casa.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
27,"Il Questore Garramone torna a Roma: ""Trentino meraviglioso, ma c'è molta solitudine""",http://www.trentotoday.it/attualita/garramone-lascia-trento.html,"Viale Verona - Trento, Trento, Italia","[46.046459, 11.129586]"
28,Birra dell'Anno: ecco i birrifici trentini premiati,http://www.trentotoday.it/cucina/migliore-birra-trentino-2020.html,"Via del Brennero - Trento, Trento, Italia","[46.084893, 11.119293]"
29,"Ecco il Monopoly versione Lago di Garda: c'è anche la ""gondola per il Monte Baldo""",http://www.trentotoday.it/attualita/monopoly-lago-garda.html,"Lungolago dei Pini - Riva del Garda, Trento, Italia","[45.879243, 10.853688]"
30,"La fotografia ha 180 anni,  Il libro illustrato dall’incisione al digitale",http://www.trentotoday.it/eventi/mart-fotografia-2020.html,"Corso Bettini - Rovereto, Trento, Italia","[45.893923, 11.043605]"
31,"I diari, nuova mostra al Mart",http://www.trentotoday.it/eventi/mart-diari-2020.html,"Corso Bettini - Rovereto, Trento, Italia","[45.893923, 11.043605]"
32,Il Muro di Berlino in mostra,http://www.trentotoday.it/eventi/muro-berlino-gallerie-2020.html,"Via D&ograve;s Trento - Trento, Trento, Italia","[46.073542, 11.110165]"
33,"Terzo polo per le comunali? Nè destra, nè sinistra, e c'è anche la DC",http://www.trentotoday.it/politica/elezioni-comunali-rizzoli-centro.html,"Via Giuseppe Verdi - Trento, Trento, Italia","[46.066523, 11.117443]"
34,"Contributi ""facili"" all'Apt? Il Comune: ""A Trento un milione di turisti all'anno""",http://www.trentotoday.it/attualita/corte-conti-apt-contributi.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
35,"""Violentata nel bagno di un locale del centro"": vittima una studentessa 20enne",http://www.trentotoday.it/cronaca/ragazza-violentata-locale-centro.html,"Viale Verona - Trento, Trento, Italia","[46.046459, 11.129586]"
36,Test del DNA ai cani anche in Trentino per multare i proprietari che non raccolgono gli escrementi,http://www.trentotoday.it/attualita/esame-dna-escrementi-cani.html,"Viale Verona - Trento, Trento, Italia","[46.046459, 11.129586]"
37,"Alessandro diventa Alexandra, la Cassazione approva: ""Ognuno sceglie il nome che vuole""",http://www.trentotoday.it/attualita/cambio-sesso-nome-anagrafe.html,"Via Carlo Antonio Pilati - Trento, Trento, Italia","[46.06602, 11.12722]"
38,"A22, lavori e lieve tamponamento: code di 4 chilometri",http://www.trentotoday.it/cronaca/incidente-stradale/a22-code-san-michele-18-febbraio.html,"Via Berlino - Trento, Trento, Italia","[46.07743, 11.109565]"
39,Malore collettivo in hotel a Folgarida: alcuni ragazzi si sono ammalati anche dopo,http://www.trentotoday.it/cronaca/albergo-folgarida-virus-studenti.html,"Via Francesco Barbacovi - Trento, Trento, Italia","[46.065313, 11.126664]"
