nome_quart,cod_quart,counts
CENTRO STORICO,1,4335
SAN GIUSEPPE,20,997
BOLGHERA,26,568
MADONNA BIANCA,29,492
SOLTERI-CENTOCHIAVI,4,468
GARDOLO,9,402
SAN BERNARDINO,23,363
SAN MARTINO,2,297
SANTISSIMO,22,294
LA VELA,7,262
CLARINA,27,249
POVO,32,195
CAMPOTRENTINO,6,191
RONCAFORT,11,173
PIEDICASTELLO,5,162
SAN PIO X,21,153
CRISTO RE,3,144
VILLAZZANO,31,123
MATTARELLO,46,121
SARDAGNA,42,101
RAVINA,43,90
COGNOLA,35,78
SAN BARTOLOMEO,28,53
SOPRAMONTE,41,48
SPINI-GHIAIE,12,30
BELVEDERE-SAN FRANCESCO,24,26
OLTRECASTELLO,33,18
CANOVA,10,16
CAPPUCCINI,25,16
MARTIGNANO,37,15
CADINE,38,14
SAN DONA'-LASTE,34,14
MEANO,16,11
GARDOLO DI MEZZO,15,10
MELTA,8,9
VIGOLO BASELGA,39,8
VALSORDA,47,5
ROMAGNANO,44,4
VILLAMONTAGNA,36,4
GAZZADINA,17,4
BASELGA DEL BONDONE,40,3
VIGO MEANO,19,3
VILLAZZANO 3,30,3
LAMAR,13,1
CORTESANO,14,1
