keys,Furti,Truffa,Droga,Violenza Sessuale,Truffe,Rapine,Incidenti Stradali,Omicidio,Degrado,Morti,Prostituzione,Coronavirus
Furti,780,0,8,0,9,34,0,2,2,0,0,0
Truffa,0,37,0,0,3,0,0,0,0,0,0,0
Droga,8,0,570,0,0,1,0,2,8,5,2,1
Violenza Sessuale,0,0,0,0,0,0,0,0,0,0,0,0
Truffe,9,3,0,0,236,1,0,0,0,0,1,1
Rapine,35,0,1,0,1,174,0,0,1,0,0,0
Incidenti Stradali,0,0,0,0,0,0,0,0,0,0,0,0
Omicidio,2,0,2,0,0,0,0,190,0,14,0,0
Degrado,2,0,8,0,0,1,0,0,140,1,3,0
Morti,0,0,5,0,0,0,0,16,1,865,0,133
Prostituzione,0,0,2,0,1,0,0,0,3,0,46,0
Coronavirus,0,0,1,0,1,0,0,0,0,100,0,932
