key,value
piazza,5.235018937738137
via,4.419757922680804
trento,3.6718400646393965
stato,3.4557099221829097
comune,3.4375552938886007
polizia,3.138565032858037
zona,3.017022878610506
degrado,2.995575789509408
città,2.831806628742957
santa,2.6802091683334592
residenti,2.672006362112712
quartiere,2.6216693694976847
sindaco,2.602730681417204
maria,2.481105322091796
maggiore,2.4600992226633416
persone,2.3717115829978286
sicurezza,2.348946880855064
parco,2.3398626239764138
locale,2.3077839230251733
situazione,2.3002087616058304
centro,2.1141775771134057
agenti,2.071604083346648
comitato,1.9596414087760747
ieri,1.9219999617344008
euro,1.877513876417365
cittadini,1.8395349554635927
dante,1.8390885987244847
consigliere,1.8304133741632744
essere,1.8217022505677845
stata,1.80818441415427
comunale,1.8013476478507595
portela,1.7540379767325451
carabinieri,1.727292333986814
spaccio,1.726216882184716
legge,1.7223915760508248
forze,1.7212056932998598
foto,1.7179895817534268
zone,1.6844582164193016
solo,1.6671006814762677
san,1.6309837880736084
progetto,1.6254365304824492
caso,1.5977831680295782
nota,1.5802064053168188
presenza,1.5677163078176308
andreatta,1.562283509615215
secondo,1.5614753699073591
bar,1.4801727761574015
senza,1.4660159186743182
fatto,1.453815134947992
qualche,1.4333698934289312
alcuni,1.421147844768211
cittadino,1.3969629778849253
trentino,1.3938484072690236
torre,1.360182381600388
dellordine,1.3480408707604945
tempo,1.3475705672708416
sera,1.3340098175206088
scritte,1.3146229501877151
lega,1.3065040056122406
vanga,1.3028829336339576
divieto,1.2882244348935674
comunicato,1.2808118731776534
rifiuti,1.2645642154912506
sempre,1.2590625485884317
notte,1.2544748038116138
lavori,1.2544119528848534
provincia,1.253040049688008
mozione,1.25254491595531
muri,1.2509315679521305
chiesa,1.247249336500967
questore,1.2396189382240448
attività,1.2324274657691952
così,1.225540065814592
anno,1.2238831375938912
visto,1.2159509416600343
patt,1.2159450499792814
proprio,1.202601601063647
questura,1.1989265239238538
dell,1.1981571953461017
piazzetta,1.190718814810594
episodi,1.1878684805323103
problema,1.1873542653603384
giovanni,1.172624764554425
sotto,1.1667827396014867
durante,1.1580764750347343
consiglio,1.1570767183935582
servizio,1.1554039454755691
presidio,1.1499616324031157
pubblico,1.1475908395538192
casa,1.144890482457236
allinterno,1.142825378704439
sociale,1.1328142174131215
volta,1.1295840251011775
pubblici,1.1169579159901613
proposta,1.1092951737579035
riqualificazione,1.1088158846710952
giovani,1.1074926800341731
fino,1.103380740548219
ore,1.094722140845239
locali,1.0939970664363032
