key,value
stato,21.3017347361142
carabinieri,20.880845020169843
trento,18.665503834400393
spaccio,15.144681469976845
grammi,14.274974519882074
droga,13.768467639970787
hashish,13.10855833651053
cocaina,12.712399615774268
stupefacenti,12.244294305400455
marijuana,11.859631504726007
arrestato,11.290651751497226
militari,10.583028119984306
trovato,10.46363567968367
persone,10.416978842150877
eroina,10.396880328388304
euro,10.074571253907447
polizia,10.001722453969151
controlli,9.473525218948364
giovane,9.414226833604289
possesso,9.135686092529477
sostanze,8.866846086986222
fermato,8.84613624096622
casa,8.65428412603679
sostanza,8.540275385694482
agenti,8.535011783085304
cittadino,8.198479612296746
dell,8.180797510081018
via,8.144669550440959
stata,7.9896767358852125
antidroga,7.984640882215882
trentino,7.806388318322952
controllo,7.717005249723166
circa,7.707355121384367
piazza,7.654426251843345
carcere,7.61016531773131
fini,7.542903649148253
mentre,7.500602163455786
luomo,7.384243475922526
portato,7.190495649948446
detenzione,7.146497584844584
essere,7.143506462434306
operazione,7.052781172397407
finanza,6.989251377062793
denunciato,6.947941295860032
ieri,6.845173266008644
stupefacente,6.7702082884372325
perquisizione,6.634891123146442
guardia,6.552770000941527
secondo,6.431240154743183
zona,6.304093290569275
centro,6.149122620896763
giovani,6.103000520880974
mobile,6.0722385672981956
poi,6.059319369554057
ragazzo,6.041842877961413
mezzo,5.988087422325835
indagini,5.974457613866765
arrestati,5.966254871931431
squadra,5.947397505931148
alcuni,5.9248184271387405
rovereto,5.923168706427624
dosi,5.877508936596401
all,5.731768529925978
piante,5.665455674208777
fatto,5.6251324440542385
quantità,5.532004604698901
tunisino,5.480470909795612
trovati,5.471566531236805
stazione,5.354328719100236
anni,5.353647233233393
chili,5.32230609932361
allinterno,5.308208804181869
residente,5.2668322790776845
durante,5.265221463213028
arresti,5.264533515917539
garda,5.225523011489316
contanti,5.211277137008811
città,5.1928750133388535
quattro,5.187393676330067
presso,5.168029279030391
dante,5.116587735252182
val,5.058439130123195
quindi,5.036285328679826
reato,5.005722950543106
volta,4.973649751333872
riva,4.92401296783409
arresto,4.913494209678224
traffico,4.8964966136066375
locale,4.798686194961565
giro,4.791865536285667
caso,4.7705806640538135
compagnia,4.765819483133996
commissariato,4.755603987353147
sequestrato,4.732592870578415
etto,4.724102750344789
sequestro,4.711127302421846
laccusa,4.708289763980178
banda,4.68989566131258
valsugana,4.6543505781500825
questura,4.649211728201586
