key,value
trento,6.163623693850597
stato,5.840914321528878
incidente,5.779163897604259
strada,5.5282649346840165
allospedale,5.184296572073738
auto,5.000068404070032
gravi,4.9748927936325975
chiara,4.696721571364823
fuoco,4.645117095032608
118,4.56481270162532
vigili,4.402264442798132
soccorso,4.286311261446521
condizioni,4.231539463081802
verso,4.189368655187823
dinamica,3.9364532791037696
avvenuto,3.743578495459147
trasportato,3.5869926870016897
donna,3.5457946314628583
vita,3.4369529884823597
stata,3.372423232288402
unauto,3.2699367912143185
persone,3.257084756200205
motociclista,3.227599499484582
carabinieri,3.03813801136129
perso,3.0372063943913847
lincidente,3.020101809431269
santa,2.998352895189976
statale,2.940243889307255
bordo,2.862389429302847
mezzi,2.8413064132227315
ambulanza,2.8097236292187344
dellincidente,2.804194507749717
schianto,2.7974668846633257
via,2.7929756002680466
moto,2.788621344712087
secondo,2.7836977241990137
pronto,2.768745321974641
grave,2.7637208567619664
stradale,2.7470678208395083
pomeriggio,2.7425286019884987
anni,2.7308987098359374
ricoverato,2.7203583825975306
allaltezza,2.711888405065785
dellordine,2.673269508177413
forze,2.6110510793873303
intervenuti,2.596899428594603
mentre,2.5785827204762986
traumi,2.572428128580847
mezzo,2.570808951989401
ieri,2.5511246599388997
feriti,2.5402895916166663
riportato,2.521599527421877
terribile,2.5086491850491845
valsugana,2.483155697185784
guida,2.4631750740134297
prime,2.4621948271295038
ragazzo,2.4572320095275058
luomo,2.45543098267134
mattina,2.426041517488992
direzione,2.387092893850816
controllo,2.3803995536257982
val,2.3285131863534803
traffico,2.3284563221393078
conseguenze,2.275612525584941
sera,2.2609794084138746
giovane,2.2160342872697463
soccorritori,2.2135352964729678
scontro,2.2118919319751886
ferito,2.1421506890485977
quattro,2.128642260246385
trasportata,2.1256145365705925
uscita,2.0704524379865137
fuori,2.069550089060184
pericolo,2.0519103814334345
ospedale,2.0356531028995235
causa,2.018761957231653
corsia,2.011204665629779
coinvolte,1.9998244946032009
molto,1.9801092750447773
ferite,1.9673347202457512
subito,1.9580008597802652
accertamenti,1.951546009084141
veicoli,1.9077452488322408
dellauto,1.9065588644570204
vittima,1.8952575853858225
persona,1.888573361171984
polizia,1.880126895004852
elicottero,1.87039075048722
volontari,1.8352987513019152
rianimazione,1.8284470047575032
chiarire,1.8154356970925585
trentino,1.8128477436278887
ricostruire,1.801747832164456
ambulanze,1.7527148823857632
19,1.7193110963208564
notte,1.7052492139540072
quando,1.7002765145723138
viaggiavano,1.67405204215272
paese,1.6697168834701928
sotto,1.6650409429061106
