key,value
stato,21.919919347687863
vita,20.41111646385829
incidente,17.301004783082874
purtroppo,16.803821493197564
trento,16.576830109058832
trentino,15.922921217352581
perso,14.839621318265124
soccorso,13.610676920841847
senza,13.315986547726189
fare,13.171907099766665
luomo,12.590037617266162
118,11.928695951688914
stata,11.75420313314016
avvenuto,11.73653798829046
strada,11.507668730408016
altro,11.477469242606599
anni,11.365893899918781
alpino,11.247544355105223
fuoco,11.197132109770093
soccorritori,11.037919787557252
metri,11.0104336328476
ieri,10.816728560288286
decesso,10.740814776733083
donna,10.690342819527435
verso,10.522344609265023
corpo,10.39771958029008
vigili,10.35020789529323
lallarme,10.331826568524372
carabinieri,10.129693779307985
secondo,10.073779452607582
vittima,9.907933681665014
pomeriggio,9.892082505572242
allospedale,9.702025768336162
trovato,9.674071168449618
quando,9.649205198917779
lintervento,9.278898591941644
val,9.152669140705548
mattina,9.13925684077688
ore,8.967399933936626
mentre,8.870600986490912
tragico,8.625966316748604
uomini,8.606091633813259
casa,8.588387949586092
lavoro,8.576957939706876
ragazzo,8.448843091889048
essere,8.375113380372778
morto,8.316093686775814
tragedia,8.270909807548296
fatale,8.25701312930746
trovava,8.216739122302808
uomo,8.15370630676842
residente,7.950658849550869
terribile,7.898330192469553
morte,7.879941597667417
constatare,7.849216094698052
lelicottero,7.8205405560287975
chiara,7.792813189584282
zona,7.761489714695215
insieme,7.761157170611535
malore,7.692090088715467
rimasto,7.548740397661032
dinamica,7.458708106284094
giovane,7.420599907611278
provincia,7.385918895022576
prime,7.337428305410707
ricerche,7.113114278982782
salma,6.918195662760372
cè,6.912953088886923
valle,6.904202830076391
mezzo,6.823878072850784
molto,6.791804762288934
lha,6.771234550100756
persone,6.750417628741287
trentotoday,6.716928868797615
http,6.6956044039428075
mortale,6.6694401742141745
potuto,6.652779502680672
poi,6.615866472645727
via,6.612449123306332
sotto,6.587995248223214
caduta,6.509160593166379
notizia,6.496899129797687
coronavirus,6.445865527584723
elicottero,6.438608460550526
lincidente,6.411803214601608
intervenuti,6.340536327449716
fatta,6.335613225925026
famiglia,6.3152699544880795
durante,6.262905200251113
gravi,6.2245462755555145
nulla,6.212129338731286
volo,6.2064149093224374
ce,6.197270650607206
comunità,6.19710874411556
aver,6.164256196460902
clicca,6.158031132454448
sentiero,6.153608715004651
presidente,6.1406587804709325
paese,6.123741064860145
condizioni,6.116032533229902
