key,value
stato,5.552751560876807
carabinieri,4.879265736689724
omicidio,4.463632105810632
casa,4.187438093187988
donna,3.845926477649362
trento,3.614261844628881
quarta,3.613252813021088
luomo,3.4515648894440467
stata,3.4048047605274645
aver,3.3618586784154902
moglie,3.300421536600465
vittima,3.185510104049781
ieri,3.0776966325330783
carcere,3.0598964998750846
poi,2.893333961462372
vita,2.8807303476014483
tentato,2.8493191583119635
via,2.7207836711911155
secondo,2.716394251728162
anni,2.7087194945658317
notte,2.626404104523786
ucciso,2.5844939321052305
giovane,2.53445562140862
marco,2.4876338123786743
ragazzo,2.461582176718808
coltello,2.4373998929320844
pergine,2.33637860273198
fatto,2.20284429841064
sera,2.1609859389585635
senza,2.119775861360484
essere,2.1128705045173417
indagini,2.111997868054281
delitto,2.1094035585178545
lomicidio,2.098874122552017
inquirenti,2.09039060571917
zivignago,2.081809691749008
rovereto,2.067163477632501
dramma,2.0622640078487082
accusato,2.0453242666225395
madre,2.0198373289770624
momento,1.9942258138215396
figli,1.992146028567416
trovato,1.9772891746590768
gesto,1.9616387574433176
laccusa,1.9377126349385527
quando,1.9083778487644003
marzo,1.9004744512418892
padre,1.8904482967366223
carmela,1.8820173376962628
morlino,1.8735622156273024
marito,1.8703984740176125
arrestato,1.8619879714931598
tragedia,1.8566752361483112
clicca,1.843875929240648
vicenda,1.8071350705707283
corpo,1.7960047172065792
primo,1.7906312528020616
ragazza,1.758203280944268
uomo,1.7581319640456343
processo,1.7558100854060017
garda,1.7531938762592028
trentotoday,1.7505898779344953
mattina,1.7486031482441602
avvenuto,1.7417948059438682
ore,1.7248190292119403
locale,1.7241056391114653
riva,1.7214147606432566
trentino,1.7175896815436291
corte,1.7171994348206792
condanna,1.6967089954799652
http,1.6843260028452525
coltellate,1.6693571817939572
caso,1.6249341143765967
morta,1.607398159336248
sentenza,1.5935463705710857
stesso,1.5871635163138742
alcuni,1.5765970280942625
figlio,1.5718859985987788
dsc,1.567605485537644
potrebbe,1.5587905840695808
ciccolini,1.5556188738719503
comunità,1.5516883766327834
quindi,1.5495632548568454
molto,1.5469128582041776
paese,1.5371256900110923
dell,1.507336310990854
seguito,1.5059607484765107
ferite,1.4942584023965102
sotto,1.4925831852858544
pena,1.4911210734260043
foto,1.4883116208250813
val,1.4866025594219554
lucia,1.4482718683692934
polizia,1.4461501198340496
bar,1.4398666486204512
mulas,1.425487276686792
detto,1.4243706151655169
grado,1.420859498938357
gottardi,1.4039517610377483
pomeriggio,1.400244523019554
