key,value
stato,24.99742083268361
soccorso,24.76656495620069
alpino,20.079613589253707
trento,19.689754270465727
allospedale,16.351082509180245
trentino,16.03289399445817
orso,15.013896932338874
luomo,14.061872580788254
chiara,13.92456929580233
118,13.904043038784064
provincia,13.584908958355786
stata,13.39254330124581
metri,13.180104995208266
trasportato,13.04464236257764
gravi,12.587623773648064
zona,12.530253795040808
verso,12.517636810264179
val,12.333375117705376
condizioni,12.221313826720586
incidente,12.013321149939193
uomini,11.84411556873127
lelicottero,11.420310433894892
essere,10.463467830211833
secondo,10.359894461958302
strada,10.334164182350943
vita,10.069477463344622
soccorritori,9.993920555923747
quando,9.789614392746818
pomeriggio,9.678420148559828
caso,9.523010271164404
lorso,9.44276891583274
avvenuto,9.400570843433156
elicottero,9.392214992764329
ieri,9.376566042334119
provinciale,9.337550670344887
fuoco,9.241555176099428
dell,9.157474842121557
lallarme,9.141460322187546
notte,9.114812309997568
vigili,9.11075955077844
orsi,9.108459219472891
sentiero,9.066446443435373
lintervento,8.991707805674327
ferito,8.791381310957785
donna,8.769044728224426
intervento,8.763773702151136
valle,8.692247480531938
m49,8.623287427247483
prime,8.540299131684296
anni,8.428574326442183
circa,8.251647550095353
pericolo,8.249870844584134
poi,8.218010147448362
uomo,8.144328681666341
mentre,8.105537235475424
via,8.000455130332734
perso,7.957022641970544
sotto,7.940220130773773
persone,7.916609045414765
mattina,7.799489481791433
boschi,7.674155543260723
fino,7.6641169651900665
grave,7.5961155291997855
servizio,7.538308881331497
ricoverato,7.479629771520638
cuccioli,7.463774675395008
senza,7.4208028448768655
caduta,7.393026968834293
fatto,7.3241601186660175
volta,7.317210057520188
monte,7.276410203960353
dinamica,7.1891217543316825
molto,7.144214454477482
intervenuti,7.024209490785304
quota,6.997104992265083
presenza,6.980450134593212
sopra,6.8920763130950045
rifugio,6.888743802739603
primo,6.872686602546338
chiamato,6.833368489838703
gruppo,6.81575005144026
recuperato,6.782013897428633
cattura,6.706989625483747
foto,6.617497600799547
forestale,6.610680465056555
san,6.578185886591729
presidente,6.562327387037414
volo,6.544996046546736
nota,6.481871500131321
bordo,6.440715488142192
soccorsi,6.404469229261309
lincidente,6.404375991872776
clicca,6.384367790868732
informazioni,6.34160961446432
danni,6.287750871835482
ragazzo,6.256926053455152
ore,6.240100124479115
punto,6.23188590377237
intervenuto,6.135917595037025
altro,6.128186444427746
