key,value
stato,6.41967962460708
rapina,5.958688011309604
trento,5.754055853164769
carabinieri,5.491662796538833
via,4.6311680427646005
euro,3.9887966593315
poi,3.837410919487962
donna,3.6441968879478286
ieri,3.6169703380415377
polizia,3.381951151120989
luomo,3.309609890129043
pistola,3.1652493666969614
fatto,3.1603593942555155
casa,3.124005814127031
stata,3.07680628047028
trentino,2.9136901159892905
rapine,2.7735375601685326
coltello,2.7588974561842776
volto,2.742639359221369
vittima,2.7221476324758513
arrestato,2.6407922183910157
quando,2.6018380742168232
notte,2.5851444957869414
rapinatore,2.583792980102728
cassa,2.58258854637322
indagini,2.56282624706137
fuga,2.551190921896456
uomo,2.5459885737577976
consegnare,2.4530728421818466
secondo,2.3653579347754192
mentre,2.355586054677544
essere,2.3341282725802537
negozio,2.325980366135444
denaro,2.3246476680202166
giovane,2.3187842303164703
danni,2.3019220709080948
furto,2.298974795164292
verso,2.271253151645999
bottino,2.248314135991706
forze,2.221124810133918
sera,2.2013619450442756
circa,2.190593911808733
malviventi,2.1632201496765737
aver,2.1590776928258637
rapinatori,2.1585380770547404
titolare,2.158460904544633
furti,2.1548010202744363
centro,2.1248098377186238
ragazza,2.1097551414201705
pomeriggio,2.1079846416383075
mano,2.0966783297835203
locale,2.060726418203048
alcuni,2.0605045958229784
pochi,2.0480367407700104
entrato,2.0360571071115148
dellordine,2.0338110112624284
arrestati,2.03298330890486
rovereto,2.026042387708084
senza,1.9799281070299704
fuggire,1.9754574777451568
bar,1.9634151189576512
colpo,1.9532337214667248
zona,1.9443186707117357
san,1.9306207352569829
ragazzo,1.8682135168295928
malvivente,1.8575438482751292
agenti,1.8519468621556607
dell,1.8416189327407413
volta,1.8240879679326183
sala,1.8118305226290097
persone,1.7921693123683238
mattina,1.7829634473296796
tentata,1.775814832822127
residente,1.7719888563508952
chiamato,1.7659806207828233
questura,1.7490257797730224
solo,1.7432231333943111
supermercato,1.7372448544325052
città,1.7334562390890955
quattro,1.7293410795082922
denunciato,1.7269205970062478
cittadino,1.7131391212022298
carcere,1.7078052833769577
tracce,1.6661187951570804
cellulare,1.6467362559923815
anni,1.6412475533905655
gioielleria,1.6217521148944916
presso,1.6212827848213425
momento,1.608409703179646
valore,1.6044863933795557
qualche,1.5942210604854092
auto,1.5936677309114242
attorno,1.585231068107554
stazione,1.5735370517338854
successo,1.566842180544226
contanti,1.5517005383873212
piazza,1.5418169542688458
coperto,1.540760311079871
armata,1.5342019089550518
ore,1.5282926615605752
