key,value
euro,8.258141079928105
truffa,7.142402072690139
carabinieri,6.836382505911117
stato,5.182310374937943
trento,4.690280244869065
donna,4.193770174777089
truffatore,4.124555211861644
dell,3.984487648038709
persone,3.967106343098936
polizia,3.8235843455454193
indagini,3.796092241087493
vittima,3.66971518111544
essere,3.6102627493746335
stata,3.5698760786299646
casa,3.5583865118842946
trentino,3.5019369784137275
denunciato,3.498900271802213
denaro,3.440345141990206
aver,3.3225965011658265
poi,3.2637629914303647
caso,3.17412594384675
000,3.163145629266418
uomo,3.1605322271174843
truffatori,3.1529943043288284
denuncia,3.1369261218398536
vittime,3.0864964973599798
volta,3.0274749481769065
luomo,3.0219433480349256
casi,2.973692164442292
conto,2.893645895260444
truffe,2.8695191154732127
danni,2.8516400609414934
sempre,2.8130800743191218
signora,2.777414306297916
guardia,2.6849296133071405
vendita,2.673266540740705
rovereto,2.672438451873422
figlio,2.671195131967329
alcuni,2.667117007107909
fatto,2.633887960707852
valore,2.598789326370757
società,2.5923877955702785
soldi,2.5706839063782647
anziani,2.5400748207930803
residente,2.5388002617516072
secondo,2.4898457777853658
sito,2.447103677915339
all,2.378517394274392
cittadini,2.3585394259005668
mila,2.3382201307876165
quando,2.33289126650198
senza,2.2929404912181814
carta,2.2823662486669933
provincia,2.251764585199486
presso,2.220635704544084
internet,2.1902058576657355
qualche,2.1801754989431448
pagare,2.14970692999217
locale,2.146867919744017
online,2.1422396404012813
circa,2.1327595980698626
falso,2.1227784455048795
stessa,2.088847790648431
segnalazioni,2.0835982572285547
stesso,2.048728367267041
altro,2.044238777057029
solo,2.023723314285696
militari,2.0221815007590602
pagamento,2.016927828347472
banconote,2.0043520348180537
postale,2.001264710431137
quindi,1.996124276189869
tratta,1.9953612865381425
val,1.9851256141944955
venditore,1.9714843375503748
garda,1.9684790858222576
quali,1.9505109142944652
prezzo,1.9477709399601404
così,1.94134895992623
numero,1.9347097793699368
realtà,1.9245114192641304
procura,1.9165476979710427
credito,1.9018715746082788
via,1.8697653487905852
forze,1.8585506194810535
proprio,1.8576860830637083
finanza,1.8504146298656847
che,1.8484144567246568
presentato,1.847212511937898
denunciati,1.8215415298872528
portato,1.806250284424231
mesi,1.8008986333821575
persona,1.7990064651510145
tempo,1.7690614058866894
alcune,1.7690416152897726
molto,1.76885825587929
messo,1.7455551084175545
invece,1.7420252696535907
lavoro,1.7382254232034848
venditori,1.735046387514524
