key,value
piazza,5.080717338382405
via,4.312269264668801
trento,3.52465577894829
comune,3.3591324786480365
stato,3.2996719932991967
polizia,3.0943743458005915
zona,2.9265326141386594
degrado,2.8843417970765315
città,2.7344475854463277
santa,2.5899936097383294
residenti,2.5535553783460423
maggiore,2.411975454341683
sindaco,2.4064596268252014
maria,2.3886130471171643
quartiere,2.3530453078333324
persone,2.331904135791252
parco,2.2848833723978803
locale,2.2603285506091426
sicurezza,2.1837004708486063
situazione,2.1801229175978665
centro,2.0398964621596583
agenti,2.0176520577596264
comitato,1.9364623469283704
ieri,1.827718696344268
consigliere,1.806241752985683
euro,1.7948794584829886
comunale,1.7715494389226387
dante,1.7615026634244983
essere,1.7525886217328053
carabinieri,1.7093470923966794
stata,1.703740984795096
cittadini,1.6889587774312385
portela,1.6766295371851399
legge,1.6696287690781744
forze,1.6463897519625803
spaccio,1.6463125755578665
foto,1.6343465819304952
progetto,1.6051607842775797
zone,1.5915961853589846
san,1.5419463727904366
nota,1.5249462131919027
andreatta,1.5151116091074193
secondo,1.5128775346123442
solo,1.5114027960095526
presenza,1.509053293150006
senza,1.4094219116988675
qualche,1.4093257971687596
bar,1.4051341484696032
alcuni,1.4041568840185623
caso,1.3921433118642763
trentino,1.3800436641625715
fatto,1.36857612328915
torre,1.3429133397767063
dellordine,1.3296827418313075
sera,1.3141150109189912
cittadino,1.3019925201596612
vanga,1.2866746137064524
divieto,1.2690718149288591
lega,1.2552169731143794
lavori,1.237998148544022
chiesa,1.2344150884072904
questore,1.2280668226467475
scritte,1.2237925266872287
comunicato,1.2208320394016683
attività,1.2184898917447782
sempre,1.2090662057278754
rifiuti,1.2078742054849798
tempo,1.2062284126800162
visto,1.205066573338499
mozione,1.2037398986327017
patt,1.1971715844659314
provincia,1.1948599310736725
proprio,1.191685879984817
questura,1.1860355932650668
così,1.1680386602722457
giovanni,1.160930224430464
allinterno,1.1530776624703636
muri,1.1528165712268088
consiglio,1.1461155725120007
servizio,1.1448668221999456
episodi,1.140645268488907
presidio,1.1403201668682734
pubblico,1.1354439474324514
sociale,1.1208749795277049
anno,1.1129818844271668
piazzetta,1.110434894296793
pubblici,1.1069617321922
durante,1.1027076790946433
giovani,1.096304088956833
riqualificazione,1.0954597858493311
problema,1.0785041499809025
luogo,1.076833595875064
volta,1.075125858285831
fine,1.0560901902111706
trentotoday,1.0504886458933629
http,1.0504886458933629
ore,1.0477047863869196
chiara,1.0433472014100542
sotto,1.0421198533910228
rissa,1.0348777774952005
