key,value
stato,20.42364728157079
carabinieri,19.96790184065428
trento,18.064270756492547
spaccio,14.678644525143747
grammi,13.617357824500658
droga,13.06268794788452
hashish,12.614043235627706
cocaina,12.350970036752315
stupefacenti,11.554508110385187
marijuana,11.419628120767806
arrestato,10.820408262822195
militari,10.250498109552387
persone,10.16058422925931
trovato,10.143656344108825
eroina,9.97448322263465
euro,9.60391748859815
polizia,9.255801737499024
controlli,9.064615884650301
giovane,8.855195135013288
possesso,8.769177491123575
fermato,8.506737684051169
sostanza,8.326799963605431
sostanze,8.211834335285356
casa,8.123543947059318
cittadino,7.815874320733392
via,7.704675390607956
luomo,7.586563885554462
stata,7.5857032784713105
controllo,7.483788318821563
trentino,7.45277965667809
agenti,7.3519848195184245
fini,7.3478249845068255
carcere,7.344518605820992
circa,7.332461671184701
antidroga,7.297959802211982
mentre,7.272088474616032
piazza,7.001173096609365
detenzione,6.902126461679157
portato,6.8325141058333285
denunciato,6.7779191110338655
ieri,6.682722253418699
essere,6.588705144591545
finanza,6.525146821368197
stupefacente,6.451456983328898
dell,6.292254402772023
perquisizione,6.2659422514996255
secondo,6.231877720893015
operazione,6.22207826978048
guardia,6.12454329515884
zona,5.9996267532191085
mezzo,5.864467142158314
giovani,5.84065248087387
arrestati,5.819516241804349
ragazzo,5.8082577017353865
poi,5.7907930461488855
alcuni,5.739558119404527
centro,5.719732612842917
indagini,5.697395665899719
mobile,5.576720261335024
fatto,5.466356970369589
squadra,5.427914298346323
tunisino,5.389564887226485
rovereto,5.359607895825745
dosi,5.352943746671693
allinterno,5.300762973286067
chili,5.242673775661787
quantità,5.200740635664257
arresti,5.140558814839856
anni,5.128658041663889
quattro,5.086279703481121
trovati,5.076909201992919
città,5.0669264356539605
residente,4.972547390490632
stazione,4.964821684700333
presso,4.939264788552698
garda,4.9308408201513645
durante,4.916765587301828
piante,4.9052588850383625
val,4.902219436440679
contanti,4.8619304685061255
quindi,4.832630949260553
volta,4.792555769293114
reato,4.785846514422407
traffico,4.7198709208722045
etto,4.652031002374248
laccusa,4.639620103224705
compagnia,4.6347655541283626
giro,4.621085343353836
sequestro,4.583462560252552
arresto,4.581975758768323
banda,4.579957050241406
valsugana,4.577122255687696
dante,4.538114231880897
caso,4.533425276636296
riva,4.5319396933654925
domiciliari,4.48863560801233
commissariato,4.485795368893691
fermati,4.436139451489557
sequestrato,4.428725732244777
parco,4.405015444805966
