key,value
carabinieri,24.95722806306079
furto,22.7050949046788
stato,21.679978211153276
trento,17.35499236177504
euro,16.323143118698408
furti,15.2899208802803
ladri,14.95598557371834
via,14.877175611531683
notte,13.617689714376759
casa,12.575587776238427
donna,11.459316714627764
negozio,11.412638777711932
mentre,11.314612551473056
stata,10.838327413497888
valore,10.77458888586772
poi,10.418839002199102
militari,10.386295067756782
rubato,10.340444878711313
denunciato,9.853771350215327
arrestato,9.47412076145953
ieri,9.4209487319949
luomo,9.3735183767407
polizia,9.309732455838793
anni,9.265094434722792
alcuni,9.16427118435843
indagini,9.101556770533199
rovereto,9.083325597993682
aver,8.995447359013061
circa,8.93759081624389
ladro,8.847597652998457
trentino,8.5776352796147
essere,8.570393594723727
fatto,8.418011621460213
banda,7.83997307456078
auto,7.82992676363059
quando,7.74924856072018
senza,7.584073635988744
allinterno,7.501860202528978
presso,7.453722358854763
malviventi,7.401021401808031
stazione,7.323215028516826
quindi,7.3163521532707625
già,7.311849772495755
centro,7.292871067483012
però,7.281198807113548
tentato,7.273723552053476
all,7.161718961279635
persone,7.149319238688392
refurtiva,7.127940922017822
aggravato,7.061503289584258
denunciati,7.026852320671412
gioielli,6.982840828356162
giovane,6.888839323690654
trovato,6.843293791293608
residente,6.808730546633308
pomeriggio,6.805961463334189
colpo,6.752950478148434
cittadino,6.740355963050995
proprietario,6.727364521083331
abitazione,6.651267223919868
denuncia,6.645454942085305
bottino,6.582277805087907
oggetti,6.469153784995215
durante,6.434371819725047
portato,6.411756673562092
secondo,6.320293564154792
subito,6.293770520053408
riva,6.222697935139305
entrati,6.183323380634079
dell,6.18239326522424
infatti,6.176278132018549
volta,6.132627236012061
denaro,6.096104129612524
quattro,6.088281224987664
riusciti,6.067912351152692
agenti,6.052036517578167
uomo,6.047274164294325
zona,6.036979808320039
forze,6.024188180115384
notato,6.017906359698641
fuga,5.977593891564028
due,5.958900072119031
garda,5.949212644771117
mattina,5.917751668472886
30,5.913894964369035
carcere,5.899121298205919
arrestati,5.89608299536501
contanti,5.8920130641229695
avvenuto,5.873275681950316
caso,5.7940069135933445
bar,5.7820627881833575
messo,5.699354820379212
ancora,5.656981748657633
locale,5.643243702332742
fermato,5.630574416376202
dellordine,5.619591769656199
cassa,5.613833595974855
pochi,5.593126076274092
chiamato,5.58254971367103
verso,5.546823531026977
