key,value
trento,6.14494117137712
stato,5.824635462764608
incidente,5.737280975349061
strada,5.454643427514198
allospedale,5.176918617783908
gravi,4.891863015233569
auto,4.690209252644922
chiara,4.664770202094329
fuoco,4.566757500955898
118,4.528240200839082
vigili,4.321944329235096
soccorso,4.269423852773061
condizioni,4.214222883756928
verso,4.179135445185822
dinamica,3.924748175883905
avvenuto,3.720937313105753
trasportato,3.5746285880798734
donna,3.4466073303743188
vita,3.4344023876575367
unauto,3.2903130031721783
persone,3.254862027328606
stata,3.2463663583566014
motociclista,3.2141937346834086
carabinieri,3.0362772101609568
perso,3.0296025726318776
lincidente,3.0087448103489662
santa,2.986350223742284
statale,2.9162912233717653
mezzi,2.855754645641466
bordo,2.8222431920104505
schianto,2.8088764784106104
dellincidente,2.804919634382496
ambulanza,2.8046282365708493
via,2.783620238579064
secondo,2.7727349463493463
pronto,2.761391371996514
grave,2.7526818761873373
allaltezza,2.740841814212942
stradale,2.7367592404401515
pomeriggio,2.7317949097503407
ricoverato,2.7161246994472448
moto,2.681917096895037
anni,2.6695054630074484
dellordine,2.6634375580146274
forze,2.601622862189282
intervenuti,2.5932926472492883
traumi,2.5833697727693914
mentre,2.576756363313139
mezzo,2.5616132752704446
feriti,2.5461383643209667
ieri,2.5427711313445465
terribile,2.48106236059528
valsugana,2.4759041435676736
riportato,2.471881225708909
luomo,2.430717995781246
guida,2.4280022833580297
mattina,2.4181603453820038
ragazzo,2.41400551936476
prime,2.409645467735856
direzione,2.380675223714636
controllo,2.3732708947935683
val,2.3279689296408947
traffico,2.3206638500816847
sera,2.254131333405696
giovane,2.2163745477989982
soccorritori,2.212605614486016
scontro,2.2063576799301168
ferito,2.1365285325773136
quattro,2.126763775069854
conseguenze,2.1249282965584357
trasportata,2.0866040823797256
dellauto,2.0759895604814305
pericolo,2.058329151618572
fuori,2.016616217305081
causa,2.0151408923071448
coinvolte,2.0120887876064057
uscita,2.010593222426757
corsia,1.969190628408944
ferite,1.9658163013286944
subito,1.953744493769768
accertamenti,1.9434910488811288
molto,1.931721741969037
veicoli,1.911390725771894
persona,1.891866493570067
vittima,1.8889773233403009
polizia,1.8797925695641104
chiarire,1.8113414396169407
ricostruire,1.8027012601056696
volontari,1.7971868485846951
rianimazione,1.7895104450758426
trentino,1.7679981131841704
ambulanze,1.7019394187406809
quando,1.6998617925817832
elicottero,1.675686499388099
viaggiavano,1.6686315552874782
19,1.6653882900828996
locale,1.6640136556903988
sotto,1.6599921622689338
lauto,1.6497767869901712
informazioni,1.6484206614080483
