key,value
trento,6.060797887974071
stato,5.743755195448808
incidente,5.5871674923050625
strada,5.35511926050169
allospedale,5.107625119903153
gravi,4.820080549175989
chiara,4.591997681152164
auto,4.502762009175148
fuoco,4.479201337051065
118,4.457853914613826
vigili,4.238979599439152
soccorso,4.204855259718631
condizioni,4.152897110584243
verso,4.11744186655117
dinamica,3.870961070002047
avvenuto,3.6572096756891295
30,3.5815085305643914
trasportato,3.514817671702353
donna,3.404617319702843
vita,3.385895366090723
unauto,3.2472672201941255
persone,3.212222365377673
stata,3.2065138694823685
motociclista,3.1611850991173625
ancora,3.11858827786792
anni,3.072605314350061
carabinieri,2.990043045108026
perso,2.98583232461141
lincidente,2.9600782092531492
santa,2.942682258023168
statale,2.85237227207026
bordo,2.79674890365247
mezzi,2.794343820402156
dellincidente,2.7698398663141592
ambulanza,2.768824024547132
via,2.7497565356018434
schianto,2.742855713709895
secondo,2.728933670900511
pronto,2.717236241347308
grave,2.70726121390081
stradale,2.701426220143548
allaltezza,2.682467269992599
pomeriggio,2.6823358216848696
ricoverato,2.6700069200037215
moto,2.6505967745290153
dellordine,2.622288395481623
forze,2.5640954288842623
intervenuti,2.556215458794311
traumi,2.5443987366190637
mentre,2.539894557446685
mezzo,2.5201812193681943
ieri,2.5124751914840404
feriti,2.4881868220423473
terribile,2.4471998765396332
riportato,2.434099928364619
valsugana,2.425777026323017
guida,2.4041665367979803
luomo,2.4008042216223444
mattina,2.3995840008859575
ragazzo,2.368623820361891
prime,2.3648779327379907
direzione,2.3425586341280793
controllo,2.3384830441647884
val,2.299207186181079
traffico,2.2703780945051064
sera,2.224253969881477
soccorritori,2.180874231775067
giovane,2.175828428615863
scontro,2.172582197154147
quattro,2.0965140909210587
ferito,2.092037666422348
conseguenze,2.0877160085326545
trasportata,2.058800996708087
dellauto,2.0520132354057745
pericolo,2.021217251638542
fuori,1.9911695262657498
causa,1.9824585723858323
uscita,1.9819428185681411
coinvolte,1.969288941465838
il,1.9661756690524381
corsia,1.9373992118732573
oggi,1.9318916611511192
ferite,1.931133441461015
accertamenti,1.9195936366616528
subito,1.911557498024399
molto,1.908516929115107
veicoli,1.8735473932480802
sembra,1.871243677627189
vittima,1.8636959327718168
polizia,1.861984054272844
persona,1.8575132597195123
chiarire,1.784158549324519
ricostruire,1.7738099179059557
rianimazione,1.7667433261867003
volontari,1.7589761920345723
trentino,1.7354107357740172
posto,1.7194136583493276
dro,1.6992010427530224
cinque,1.679172737765845
quando,1.6767423097094367
