key,value
stato,21.716345749544402
vita,20.19321050129428
incidente,17.113527958054966
purtroppo,16.61498380057241
trento,16.426740624347893
trentino,15.77009192900271
perso,14.679199365045058
soccorso,13.462449858249702
senza,13.185064864093647
fare,13.024807426437164
anni,12.85799128809167
luomo,12.483600839617496
118,11.800977602688869
avvenuto,11.61258652394656
stata,11.604753995889968
ancora,11.431492043595085
strada,11.395499614984006
altro,11.34760756509217
alpino,11.131094233529515
fuoco,11.077744989371881
soccorritori,10.92285566089613
metri,10.9069437971872
ieri,10.718980247496937
decesso,10.624881713036778
donna,10.55829320583965
oggi,10.557279342543836
verso,10.40632312930939
corpo,10.302978112495953
vigili,10.240459846475488
lallarme,10.22361503649388
carabinieri,10.030591022455225
secondo,9.968835769749777
vittima,9.791002381001688
pomeriggio,9.789178798115891
allospedale,9.60774042957867
trovato,9.579098649541532
quando,9.57158186764712
lintervento,9.171492962835062
val,9.06407365133201
mattina,9.040169699292688
ore,8.872014171641652
mentre,8.7800069559373
tragico,8.528568463579102
il,8.523947374583344
lavoro,8.505418932143996
casa,8.498482690319474
uomini,8.497360848300183
30,8.489735594063157
ragazzo,8.374852452442259
essere,8.28394382444197
morto,8.24351358726633
tragedia,8.179949580236354
fatale,8.172894428533443
trovava,8.146043997247693
uomo,8.058502823588494
residente,7.870331439599511
terribile,7.822217041372346
morte,7.810824988181147
constatare,7.7668973569924535
chiara,7.727939509012377
lelicottero,7.722680397664992
zona,7.689346947351066
insieme,7.683174949057387
malore,7.624487076222283
rimasto,7.472360306465643
dinamica,7.364531016565786
giovane,7.354641735219952
la,7.325583379683819
provincia,7.309703058061178
prime,7.265094786265139
ricerche,7.044009263463564
salma,6.846734354625937
cè,6.840910487575475
valle,6.836823017715343
mezzo,6.761493825555715
molto,6.727599183479305
lha,6.720149703941436
persone,6.6826938684691175
qui,6.651648014834747
trentotoday,6.635902262868781
http,6.6147958267688995
mortale,6.601483014566026
potuto,6.576052931734073
poi,6.560762655542123
via,6.550593856950967
sotto,6.5188970116351745
caduta,6.444570105335818
notizia,6.425085691685443
elicottero,6.387669032273146
coronavirus,6.378502496680355
lincidente,6.34961427348245
di,6.319681398929643
fatta,6.290617914989207
intervenuti,6.278229716439417
famiglia,6.264491838717212
durante,6.208167265616089
gravi,6.155130005175312
ce,6.153227030607679
nulla,6.150364758994806
volo,6.140450004373646
