key,value
stato,5.514093924472859
carabinieri,4.876773419403402
omicidio,4.305804960557756
casa,4.171141230813896
donna,3.7920703232603614
quarta,3.599431261301543
trento,3.5969465040725987
luomo,3.5732629784370094
stata,3.4037901086726308
aver,3.348527869159872
moglie,3.293120966209224
vittima,3.1868740023959257
ieri,3.063673534383493
carcere,3.0350332939272797
poi,2.885890001343605
vita,2.8630477744145546
tentato,2.846582529334248
via,2.7174297417194397
secondo,2.7088526913238358
notte,2.6275509939277155
anni,2.583271263032546
ucciso,2.5774150261840285
giovane,2.5376520311756354
ragazzo,2.456935941390603
marco,2.452303263149364
coltello,2.431693627640838
pergine,2.3269322838754007
lomicidio,2.209130368370638
fatto,2.1857167431451963
sera,2.151570646858542
laccusa,2.1366091529225613
delitto,2.10079981844109
indagini,2.090499522887549
senza,2.0842953194599945
zivignago,2.0735258899154294
dramma,2.066713024602461
inquirenti,2.056949764393723
essere,2.037814307285702
rovereto,2.0352694641331035
madre,2.02499699434232
accusato,2.008511280589888
momento,1.9915542479319173
figli,1.986308237011165
trovato,1.961835289741469
gesto,1.9577207334301392
marzo,1.9060269820983264
quando,1.9038200626805677
padre,1.8772599988618701
carmela,1.8757089707519143
arrestato,1.8677458151500028
morlino,1.867190071662037
tragedia,1.8552805447093368
clicca,1.83791680249842
vicenda,1.7932324639308543
primo,1.7893294088279663
marito,1.7801031406281498
ragazza,1.7647239573542906
corpo,1.7542236727694815
processo,1.7516325479617203
garda,1.7468597621889956
mattina,1.7431896996236798
ore,1.7304874368876233
avvenuto,1.7263906729699203
http,1.7175746669834373
riva,1.716940255904386
corte,1.716118213559326
trentotoday,1.7146903849222812
condanna,1.696114083820057
locale,1.6844833092023404
coltellate,1.6698164457525593
trentino,1.6647354214021557
morta,1.6271623901732843
caso,1.6030159457635078
sentenza,1.5920420194135991
alcuni,1.573421960643883
dsc,1.562680887644261
figlio,1.559377132749485
potrebbe,1.5580660080458548
stesso,1.5486546599911968
comunità,1.5479877387818612
molto,1.54455710360215
quindi,1.5435045374247618
ciccolini,1.5427820577325495
paese,1.5383289775904725
allospedale,1.5308054371791673
ferite,1.4972637157185809
sotto,1.497008105742522
pena,1.4891400829181962
val,1.4840436713161684
seguito,1.469343652700709
foto,1.4675182127108812
polizia,1.4423533200989755
bar,1.4409962109180612
lucia,1.4392533016175983
mulas,1.4283277924864342
detto,1.4223037546838968
grado,1.4184397186381623
gottardi,1.4025635390700135
pomeriggio,1.3960217580083158
famiglia,1.3945253623064982
