key,value
stato,24.78818435453541
soccorso,24.52610811850337
alpino,19.896162758461053
trento,19.505802025093722
allospedale,16.19785463306346
trentino,15.883779379737437
orso,14.905097979523871
luomo,13.939963425607687
chiara,13.764129188713007
118,13.760249969276426
provincia,13.4655959220463
stata,13.266388256779663
metri,13.066821243234308
trasportato,12.928938967671224
ancora,12.555166275910004
gravi,12.453334617021772
zona,12.406450515415887
verso,12.401110657687445
val,12.206732431034297
condizioni,12.095573948925159
incidente,11.862740751958134
uomini,11.710260030557045
lelicottero,11.309975026287038
essere,10.364885780013081
secondo,10.251548903084712
strada,10.225558625648905
oggi,10.097812604142277
vita,9.96203340383509
soccorritori,9.917250535181799
30,9.873058074611546
anni,9.820345507788065
quando,9.714474244697207
pomeriggio,9.578186566852027
caso,9.42072749004925
lorso,9.362332880632183
elicottero,9.306897678939757
ieri,9.285837425537471
avvenuto,9.271049917711622
provinciale,9.243852591209365
dell,9.15174647116359
fuoco,9.138370819032641
notte,9.039705822503999
orsi,9.027648964861482
lallarme,9.027182833475711
vigili,9.007883870848865
sentiero,8.985979054888604
lintervento,8.854063481003587
ferito,8.69752243379271
intervento,8.677565266735884
donna,8.656899111031704
valle,8.618749372289818
m49,8.575291013829277
prime,8.439537030455845
circa,8.18741417080026
pericolo,8.16669118590671
poi,8.144434885663363
uomo,8.045121778077974
mentre,8.017323293478041
via,7.920662529938034
perso,7.878797951485701
sotto,7.859336511128861
persone,7.828006072331972
mattina,7.730247189426238
boschi,7.6070863931486254
fino,7.6061415948524935
grave,7.527734003197255
servizio,7.471073305984823
ricoverato,7.407098249505562
cuccioli,7.38320096139496
senza,7.342580977140577
caduta,7.323885876444544
il,7.3137128441423025
fatto,7.261537518677642
volta,7.245261342839777
monte,7.211206063388151
dinamica,7.101350390227744
molto,7.0735174424104255
intervenuti,6.954851449470464
la,6.941881164314187
quota,6.924344246781503
presenza,6.916838891802854
rifugio,6.837276896805628
qui,6.83009852799671
sopra,6.824639156501059
sembra,6.8124062412202955
primo,6.799255048324648
chiamato,6.767826601061242
gruppo,6.738614407100346
recuperato,6.736344303204065
cattura,6.631868537398291
foto,6.552050791071586
forestale,6.5487563854434665
san,6.5054446499884255
presidente,6.50525428057656
volo,6.46732131793343
nota,6.41398167770999
bordo,6.394499271314624
soccorsi,6.351766318415965
già,6.337171323619203
lincidente,6.32288367132548
