key,value
stato,6.3614683840639215
rapina,5.899102865268916
trento,5.706449588399782
carabinieri,5.440202146737016
via,4.5846768538821285
euro,3.9479836970724964
poi,3.8001869439157097
donna,3.6180616026064962
ieri,3.592431864454271
polizia,3.3364241566381994
luomo,3.2860857638077507
pistola,3.141033455354546
fatto,3.1180952137532083
casa,3.0865307692576742
stata,3.043050253220886
trentino,2.889226572239564
coltello,2.7344967291590163
rapine,2.733667172829517
volto,2.7180519319279086
vittima,2.689513475800268
arrestato,2.619315869602692
quando,2.5798745516392385
cassa,2.564118146870161
notte,2.557505240459669
rapinatore,2.5554134916403273
indagini,2.533642253766548
fuga,2.5269663222850807
uomo,2.5231230676257983
consegnare,2.420964316623877
secondo,2.3436860461066087
mentre,2.331537598913266
denaro,2.3083995964697714
essere,2.305197226666385
giovane,2.303540055310952
negozio,2.2939142620739497
danni,2.287346092931215
furto,2.2784843657078606
verso,2.2475361930787234
anni,2.237076905136105
bottino,2.2142654834018387
sera,2.192815664991524
forze,2.1907556207858243
circa,2.1755007688543953
aver,2.1441667637764548
titolare,2.140585045166947
malviventi,2.1378580561228078
rapinatori,2.1351260294582457
furti,2.1197258897106455
già,2.1081476367039853
centro,2.0984250221966287
ragazza,2.092304838916484
pomeriggio,2.0817256370425428
mano,2.076657692605363
oggi,2.0689604139588447
locale,2.043116282144073
alcuni,2.042200687625596
pochi,2.0260205604050796
entrato,2.0146578200503154
dellordine,2.0051418438134108
rovereto,2.0049210896787493
arrestati,2.003342870747997
ancora,1.9953728732450686
senza,1.9633064478626634
bar,1.9481426046083732
fuggire,1.9466946622838157
zona,1.9270176285012421
colpo,1.9229165626187865
san,1.9110407104402964
però,1.8862725500127182
ragazzo,1.8484820977463963
malvivente,1.8365646571347711
agenti,1.8319189080347558
dell,1.8292330741695746
30,1.8217927716377351
volta,1.8033211485164258
sala,1.7974149267401718
persone,1.7739111001908991
mattina,1.7626655409055372
tentata,1.7583513135655195
residente,1.7524407605538146
chiamato,1.7451200637814264
questura,1.7401139047027703
solo,1.7292832353585703
supermercato,1.727900942936213
città,1.7205502491386127
denunciato,1.7149795491962951
quattro,1.7117515026416539
carcere,1.693180140009102
cittadino,1.691878933858131
tracce,1.6422824286282267
il,1.6387446054434687
cellulare,1.626740463979842
presso,1.6113567590296403
gioielleria,1.59932352018476
momento,1.5935049216079775
valore,1.5917650187656154
qualche,1.5844379738584082
auto,1.5799926359746188
attorno,1.574203577264305
stazione,1.5593144552288003
